ナンバリング,Places
10217,"ＪＲ京都駅（新幹線）, 東福寺周辺, 清水寺周辺, 松尾大社周辺, 嵐山方面, 衣笠・御室方面, 祇園方面, 祇園方面, ＪＲ京都駅（新幹線）"
310786,"ＪＲ京都駅（在来線）, 具体的な地名, ＪＲ京都駅（在来線）"
20181,"京都市内の宿泊施設, 嵐山方面, 二条城周辺, 京都駅周辺, 不明"
310395,"ＪＲ京都駅（在来線）, 不明"
190482,"ＪＲ京都駅（在来線）, 東寺周辺, ＪＲ京都駅（在来線）"
200263,"京都市内の自宅・知人宅, 上賀茂神社周辺, 京都市内の自宅・知人宅"
311056,"ＪＲ京都駅（在来線）, 不明"
30024,"不明, 河原町・新京極方面, 東福寺周辺, 二条駅周辺, 二条城周辺"
30071,"国道171号神戸方面, 平安神宮周辺, 京都駅周辺, 太秦方面, 国道171号神戸方面"
30023,"不明, 具体的な地名, 不明"
330256,"京福（叡電・嵐電）駅, 大原・八瀬方面, 修学院・詩仙堂周辺, 京福（叡電・嵐電）駅"
330086,"ＪＲ京都駅（新幹線）, 修学院・詩仙堂周辺, 河原町・新京極方面, ＪＲ京都駅（在来線）"
340049,"阪急駅, 御所周辺, 大徳寺周辺, 下鴨神社周辺, 河原町・新京極方面, 阪急駅"
100372,None
320019,"不明, 二条城周辺, 太秦方面, 不明"
220232,"国道171号神戸方面, 松尾大社周辺, 高雄方面, 国道171号神戸方面"
10102,"京都市内の宿泊施設, 清水寺周辺, 京都市内の宿泊施設"
330107,"京阪駅, 大原・八瀬方面, 祇園方面, 京阪駅"
310647,"ＪＲ京都駅（在来線）, 平安神宮周辺, ＪＲ京都駅（在来線）"
20151,None
160266,None
260157,"ＪＲ京都駅（新幹線）, 伏見稲荷大社周辺, 伏見稲荷大社周辺, 河原町・新京極方面, 河原町・新京極方面, 不明"
10526,None
180183,"ＪＲ京都駅（在来線）, 京都駅周辺, 御所周辺, 醍醐寺周辺, ＪＲ京都駅（在来線）"
280648,"京阪駅, 清水寺周辺, 祇園方面, 河原町・新京極方面, 京阪駅"
210164,"京都市内の宿泊施設, 平安神宮周辺, 祇園方面, 下鴨神社周辺, ＪＲ京都駅（新幹線）"
260298,"ＪＲ京都駅（在来線）, 伏見稲荷大社周辺, ＪＲ京都駅（在来線）"
250496,"京阪駅, 具体的な地名, 清水寺周辺, 祇園方面, 祇園方面, 祇園方面, 具体的な地名, 不明"
100162,"京都市内の宿泊施設, 嵯峨野方面, 衣笠・御室方面, ＪＲ京都駅（新幹線）"
160342,None
220196,"ＪＲ京都駅（新幹線）, 松尾大社周辺, 北野天満宮周辺, 嵐山方面, 河原町・新京極方面, ＪＲ京都駅（新幹線）"
160315,"名神京都東インター, 北野天満宮周辺, 金閣寺周辺, 金閣寺周辺, 京都駅周辺, 名神京都東インター"
190125,None
40123,"ＪＲ京都駅（在来線）, 清水寺周辺, 北野天満宮周辺, 金閣寺周辺, 嵐山方面, ＪＲ京都駅（在来線）"
260392,"ＪＲ京都駅（新幹線）, 伏見稲荷大社周辺, 祇園方面, 京都市内の宿泊施設"
260212,"国道１号大阪方面, 伏見稲荷大社周辺, 東福寺周辺, 河原町・新京極方面, 祇園方面, 京都市内の宿泊施設"
80189,"京都市内の自宅・知人宅, 哲学の道周辺, 河原町・新京極方面, 御所周辺, 祇園方面, 京都駅周辺, 京都市内の自宅・知人宅"
310741,"ＪＲ京都駅（新幹線）, 清水寺周辺, 祇園方面, 不明"
180185,"ＪＲ京都駅（新幹線）, 具体的な地名, 具体的な地名, 具体的な地名, 具体的な地名, 不明"
10673,"名神京都南インター, 祇園方面, 清水寺周辺, 金閣寺周辺, 祇園方面, 京都駅周辺, 不明"
70037,"阪急駅, 御所周辺, 平安神宮周辺, 御所周辺, 北山通周辺, 阪急駅"
40093,"京都市内の宿泊施設, 平安神宮周辺, 金閣寺周辺, 衣笠・御室方面, 二条城周辺, 平安神宮周辺, 名神京都東インター"
250057,"名神京都南インター, 具体的な地名, 清水寺周辺, 清水寺周辺, 祇園方面, 河原町・新京極方面, 河原町・新京極方面, 清水寺周辺, 具体的な地名"
20157,None
40012,"京都市内の宿泊施設, 平安神宮周辺, 哲学の道周辺, 不明"
70138,None
290165,"名神京都東インター, 大徳寺周辺, 清水寺周辺, 河原町・新京極方面, 国道１号大津方面"
130062,"京都市内の自宅・知人宅, 衣笠・御室方面, 花園方面, 太秦方面, 京都市内の自宅・知人宅"
350598,None
30044,"京都市内の自宅・知人宅, 哲学の道周辺, ＪＲ京都駅（新幹線）"
150116,None
200165,"その他ＪＲ駅, 東福寺周辺, 北山通周辺, 上賀茂神社周辺, 大徳寺周辺, 醍醐寺周辺, 京阪駅"
180129,"京都市内の宿泊施設, 醍醐寺周辺, ＪＲ京都駅（新幹線）"
170119,None
110488,"京都市内の宿泊施設, 大原・八瀬方面, 大原・八瀬方面, 京都市内の宿泊施設"
330295,"京阪駅, 鞍馬方面, 清水寺周辺, 京阪駅"
190298,"ＪＲ京都駅（新幹線）, 伏見稲荷大社周辺, 東福寺周辺, 東寺周辺, 東寺周辺"
350040,"京都市内の自宅・知人宅, 京福（叡電・嵐電）駅, 国道162号周山方面, 京都市内の自宅・知人宅"
210060,"京阪駅, 下鴨神社周辺, 京阪駅"
120028,"阪急駅, 衣笠・御室方面, 不明"
220101,"ＪＲ京都駅（在来線）, 松尾大社周辺, 松尾大社周辺, 河原町・新京極方面, ＪＲ京都駅（在来線）"
90254,"阪急駅, 金閣寺周辺, 下鴨神社周辺, 哲学の道周辺, 東寺周辺, 清水寺周辺, 祇園方面, 阪急駅"
90182,"阪急駅, 哲学の道周辺, 三十三間堂周辺, 河原町・新京極方面, 阪急駅"
300749,"ＪＲ京都駅（新幹線）, 清水寺周辺, 銀閣寺周辺, 京都駅周辺, 不明"
300764,"ＪＲ京都駅（新幹線）, 哲学の道周辺, ＪＲ京都駅（新幹線）"
190220,"近鉄駅, 東寺周辺, 京都駅周辺, 不明"
